0.19463, 0.40198
0.19908, 0.41584
0.20362, 0.50297
0.20362, 0.51881
0.20362, 0.53861
0.20593, 0.44356
0.20593, 0.46931
0.20593, 0.55842
0.20827, 0.57822
0.21544, 0.60594
0.21544, 0.62376
0.21544, 0.64554
0.21544, 0.65941
0.21789, 0.68317
0.21789, 0.71683
0.22036, 0.73267
0.22286, 0.76832
0.22286, 0.79010
0.23054, 0.81188
0.25233, 0.84158
0.29552, 0.85347
0.34611, 0.85545
0.42890, 0.85941
0.46416, 0.85941
0.54979, 0.86139
0.65122, 0.86535
0.65122, 0.86535
0.75414, 0.86337
0.89327, 0.86337
1.07007, 0.86733
1.31113, 0.87129
1.55302, 0.87327
1.69978, 0.87525
2.03621, 0.87525
2.55189, 0.88119
2.79305, 0.87921
3.09169, 0.88119
3.50040, 0.88119
4.00812, 0.88119
4.43669, 0.85347
4.58949, 0.82970
4.80145, 0.79604
4.91107, 0.76832
5.02320, 0.72277
5.08022, 0.70891
5.43618, 0.66337
5.49789, 0.64356
5.56030, 0.61782
5.68725, 0.59010
5.81709, 0.56436
5.88312, 0.53267
5.88312, 0.51089
5.88312, 0.47129
5.94990, 0.42772
5.94990, 0.39604
6.01744, 0.34653
6.01744, 0.29901
6.15482, 0.25941
6.29535, 0.21188
6.36681, 0.18020
6.51217, 0.11485
6.73645, 0.09307
6.89025, 0.03762
6.89025, 0.01980
7.80112, -0.00198
9.55855, 0.00000
10.94500, 0.00198
12.53254, -0.00396
15.70646, -0.00396
18.60406, -0.00396
20.36215, 0.00000
22.28636, 0.00594
23.31562, 0.03168
24.94933, 0.06535
26.69750, 0.09109
27.00055, 0.10891
27.00055, 0.15248
27.00055, 0.16436
27.30703, 0.18812
27.30703, 0.20396
27.61700, 0.22574
27.93048, 0.24752
28.24752, 0.26535
28.56817, 0.27723
28.56817, 0.31881
28.56817, 0.32475
29.22041, 0.36040
29.55209, 0.37624
30.56991, 0.40198
31.98173, 0.43168
33.45876, 0.45545
35.40133, 0.47723
40.08124, 0.49703
41.93233, 0.49505
42.88969, 0.48119
48.01452, 0.48911
52.55188, 0.51089
57.51802, 0.52079
62.95346, 0.52673
75.41383, 0.54257
94.51271, 0.55842
97.76785, 0.55842
109.44998, 0.55842
119.79298, 0.55446
134.10686, 0.55842
148.44604, 0.55842
148.44604, 0.55842
155.30179, 0.58020
160.65060, 0.58614
181.88795, 0.58020
205.93278, 0.58812
241.18647, 0.59802
258.08615, 0.60000
279.30482, 0.60594
305.69907, 0.63168
312.67851, 0.63762
350.03998, 0.62970
383.11868, 0.64554
419.32332, 0.65743
458.94929, 0.66931
485.59534, 0.67525
