% Model:              pcal_mirror_deformation_3d_2beams.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 26 2025, 10:31
% Dimension:          3
% Nodes:              619
% Expressions:        3
% Description:        Displacement field, Z component, x-coordinate, y-coordinate
% Length unit:        m
% X                       Y                        Z                        w (m)                    x (m)                    y (m)
-0.06495177554317576      -0.037499966716002406    0.08                     -4.4860662852619E-12     -0.06495177554317576     -0.037499966716002406
-0.06067625057185087      -0.04408391809753979     0.07999999999999997      -4.6611765452230285E-12  -0.060676250571850866    -0.04408391809753979
-0.057518291628994925     -0.03673312846921797     0.08                     -8.238064495422432E-12   -0.05751829162899492     -0.03673312846921797
-0.060874510047952975     -0.030919547616198112    0.08                     -8.050051647224747E-12   -0.060874510047952975    -0.030919547616198112
-0.06851583108803186      -0.030505261385574422    0.07999999999999999      -4.333495771890284E-12   -0.06851583108803186     -0.030505261385574422
-0.05309576546569848      -0.042834552612047994    0.08                     -8.467724366868254E-12   -0.05309576546569849     -0.042834552612047994
-0.05573575828807775      -0.050184747272377414    0.08                     -4.841905068795315E-12   -0.05573575828807775     -0.05018474727237741
-0.05018470437959347      -0.0557357969065981      0.08000000000000002      -5.033902729300306E-12   -0.05018470437959347     -0.0557357969065981
-0.048741629395203066     -0.047836819469732894    0.08                     -8.624057899576307E-12   -0.048741629395203066    -0.047836819469732894
-0.0713292096594843       -0.023176311611205702    0.07999999999999997      -4.207796546909079E-12   -0.0713292096594843      -0.023176311611205702
-0.06356703886403839      -0.023983553578795606    0.08                     -8.069388825666424E-12   -0.06356703886403837     -0.02398355357879561
-0.06589788879726344      -0.017776412423541714    0.08                     -7.790270751703731E-12   -0.06589788879726344     -0.017776412423541717
-0.07335999609166174      -0.015593239986274841    0.07999999999999997      -4.120219520304277E-12   -0.07335999609166174     -0.015593239986274841
-0.04325604492091087      -0.05291744132418884     0.07999999999999999      -8.823455886038973E-12   -0.04325604492091087     -0.052917441324188845
-0.04408387140455927      -0.06067628449743351     0.08000000000000002      -5.223440433240103E-12   -0.04408387140455927     -0.06067628449743351
-0.03749991673258768      -0.0649518044021882      0.07999999999999999      -5.401562022313121E-12   -0.03749991673258768     -0.0649518044021882
-0.037449612660842166     -0.05663369613637447     0.08                     -9.278049770421835E-12   -0.03744961266084217     -0.05663369613637447
-3.5355325455433285E-4    -0.010353553526632163    0.08                     -2.5893662181719853E-9   -3.5355325455433285E-4   -0.010353553526632163
-5.0E-4                   -0.01                    0.08                     -2.606342248578452E-9    -5.0E-4                  -0.01
-9.572061012476096E-4     -0.010493060902059155    0.08                     -1.2144614944674151E-9   -9.572061012476096E-4    -0.010493060902059155
-3.535535266321616E-4     -0.009646446745445666    0.08                     -2.602842759303444E-9    -3.535535266321616E-4    -0.009646446745445666
-9.369312489215763E-4     -0.009409586322285675    0.08000000000000002      -1.1753812027192193E-9   -9.369312489215763E-4    -0.009409586322285675
-0.07458787050279471      -0.007839467289912918    0.07999999999999997      -4.063963500972861E-12   -0.07458787050279471     -0.007839467289912918
-0.06715241274509254      -0.010550897418381618    0.08                     -7.849661406194776E-12   -0.06715241274509254     -0.010550897418381618
-0.06813409423787167      -0.0035053560233670455   0.08                     -7.678774130035128E-12   -0.06813409423787166     -0.0035053560233670455
-0.075                    0                        0.08                     -4.047227832230703E-12   -0.075                   0
-0.03145817667317977      -0.060759195045930574    0.08                     -9.187989158187364E-12   -0.03145817667317977     -0.060759195045930574
-0.030505208658311148     -0.0685158545617348      0.08                     -5.562426148903629E-12   -0.030505208658311148    -0.0685158545617348
-0.023176256720120806     -0.07132922749615196     0.08                     -5.6905801316898125E-12  -0.023176256720120806    -0.07132922749615196
-0.025066821627520566     -0.06314740687325945     0.08                     -9.619025597702082E-12   -0.025066821627520563    -0.06314740687325947
-4.194815350618171E-4     -0.01099969238273641     0.08000000000000002      -1.1944263602762462E-9   -4.194815350618171E-4    -0.010999692382736412
0                         -0.0105                  0.08                     -2.6463092195650953E-9   0                        -0.0105
3.747421019504593E-4      -0.010938997873845654    0.08                     -1.2788818592771755E-9   3.747421019504593E-4     -0.010938997873845654
3.5355352663216284E-4     -0.010353553254554332    0.08                     -2.599979667909798E-9    3.535535266321629E-4     -0.010353553254554332
0                         -0.0095                  0.08                     -2.666930684564851E-9    0                        -0.0095
-2.4149145522389323E-4    -0.008952148764827812    0.08                     -1.1921025155800457E-9   -2.4149145522389323E-4   -0.008952148764827812
3.53553254554332E-4       -0.00964644647336784     0.08                     -2.5910224058359097E-9   3.53553254554332E-4      -0.00964644647336784
5.15177416138532E-4       -0.009138610097622263    0.08                     -1.2875635791424057E-9   5.15177416138532E-4      -0.009138610097622263
8.06136192488538E-4       -0.010475729250784944    0.08                     -1.3730284646010136E-9   8.06136192488538E-4      -0.010475729250784944
5.0E-4                    -0.01                    0.08                     -2.659985063104237E-9    5.0E-4                   -0.01
-5.0E-4                   0.01                     0.08                     -2.684503398508938E-9    -5.0E-4                  0.01
-0.0010617511658850935    0.009707367310086368     0.08                     -1.1701620251629765E-9   -0.0010617511658850935   0.009707367310086368
-3.53553254554332E-4      0.00964644647336784      0.08                     -2.612458925363656E-9    -3.53553254554332E-4     0.00964644647336784
-0.07458908596708065      0.007839626105999796     0.08                     -4.064488480795923E-12   -0.07458908596708065     0.007839626105999796
-0.06780394896913287      0.00380320938479263      0.08000000000000002      -7.846048876746726E-12   -0.06780394896913287     0.00380320938479263
-0.06737725714992433      0.010914254048603737     0.08                     -7.712890566160585E-12   -0.06737725714992433     0.010914254048603737
-0.07336097335751122      0.015593346475658632     0.08000000000000002      -4.126662791642771E-12   -0.07336097335751122     0.015593346475658632
-0.01822685244583222      -0.06599835397647913     0.08                     -9.460335088814315E-12   -0.01822685244583222     -0.06599835397647913
-0.015593346475658632     -0.07336097335751122     0.08000000000000002      -5.79594715330155E-12    -0.015593346475658632    -0.07336097335751122
-0.007839626105999796     -0.07458908596708065     0.08                     -5.858981074942367E-12   -0.007839626105999796    -0.07458908596708065
-0.011548286725626281     -0.0672169356336254      0.08000000000000002      -9.704168753727077E-12   -0.011548286725626281    -0.0672169356336254
9.507377318357484E-4      -0.009565924903870981    0.07999999999999999      -1.2511031957495299E-9   9.507377318357484E-4     -0.009565924903870981
-4.2173746961946326E-4    0.008982312006840854     0.08                     -1.1893570465759704E-9   -4.2173746961946326E-4   0.008982312006840854
0                         0.0095                   0.08                     -2.6334966304765674E-9   0                        0.0095
-3.5355352663216284E-4    0.010353553254554332     0.08                     -2.5822609213119813E-9   -3.5355352663216284E-4   0.010353553254554332
-9.215532786415181E-4     0.010543294085840468     0.08                     -1.2044867856628863E-9   -9.215532786415181E-4    0.010543294085840468
3.197733034125405E-4      0.009078787130920266     0.08                     -1.3201649194980913E-9   3.197733034125405E-4     0.009078787130920266
3.535535266321616E-4      0.009646446745445666     0.08                     -2.611529311401581E-9    3.535535266321616E-4     0.009646446745445666
-0.07132922749615196      0.023176256720120806     0.08                     -4.214943846763091E-12   -0.07132922749615196     0.023176256720120806
-0.06555571699477077      0.017891275728284264     0.08                     -7.959547084858394E-12   -0.06555571699477077     0.017891275728284264
-0.06364532294338138      0.024684271967112828     0.08                     -7.918456348863771E-12   -0.06364532294338138     0.024684271967112828
-0.0685158545617348       0.030505208658311148     0.08                     -4.3432007922122415E-12  -0.0685158545617348      0.030505208658311148
0                         -0.075                   0.08                     -5.879648812163747E-12   0                        -0.075
-0.0041110709108783125    -0.0682158012470714      0.08                     -9.682776951030358E-12   -0.0041110709108783125   -0.0682158012470714
0.007839467289912918      -0.07458787050279471     0.07999999999999997      -5.858364114476856E-12   0.007839467289912918     -0.07458787050279471
0.0026705031002392        -0.06825320418266423     0.08000000000000002      -9.706152337353946E-12   0.0026705031002392       -0.06825320418266423
0                         0.0105                   0.08                     -2.6456179174542037E-9   0                        0.0105
-1.3962513936890616E-4    0.010921000910675965     0.08                     -1.3569586053883689E-9   -1.3962513936890616E-4   0.010921000910675965
8.273512086743075E-4      0.00943786795185058      0.08                     -1.2847635760234256E-9   8.273512086743075E-4     0.00943786795185058
5.0E-4                    0.01                     0.08                     -2.6719583134207017E-9   5.0E-4                   0.01
3.5355325455433285E-4     0.010353553526632163     0.08                     -2.574701719619697E-9    3.5355325455433285E-4    0.010353553526632163
5.917834444389182E-4      0.010887364804616106     0.07999999999999999      -1.2225779297362518E-9   5.917834444389182E-4     0.010887364804616106
0.0010194964656326834     0.010233242960649785     0.08                     -1.2240620050454639E-9   0.0010194964656326834    0.010233242960649785
-0.0649518044021882       0.03749991673258768      0.07999999999999999      -4.496494980500224E-12   -0.0649518044021882      0.03749991673258768
-0.060414541070584485     0.03142427372270545      0.08                     -8.173413277571197E-12   -0.06041454107058448     0.03142427372270545
-0.05711672843379949      0.03721878729724344      0.08                     -8.310570247396641E-12   -0.057116728433799495    0.037218787297243434
-0.06067628449743351      0.04408387140455927      0.08000000000000002      -4.668927421299791E-12   -0.06067628449743351     0.04408387140455927
0.015593239986274841      -0.07335999609166174     0.07999999999999997      -5.79532954438131E-12    0.015593239986274841     -0.07335999609166174
0.010073091679786319      -0.06763700390240442     0.08                     -9.61443789644788E-12    0.010073091679786319     -0.06763700390240442
0.023176311611205702      -0.0713292096594843      0.07999999999999997      -5.690554789606229E-12   0.023176311611205702     -0.0713292096594843
0.016963741608739244      -0.06604483489918272     0.08000000000000002      -9.637242494782401E-12   0.016963741608739244     -0.06604483489918272
-0.0557357969065981       0.05018470437959347      0.08000000000000002      -4.8601929850565224E-12  -0.0557357969065981      0.05018470437959347
-0.052553634537253965     0.04306073792035969      0.08                     -8.647158372703453E-12   -0.05255363453725397     0.04306073792035969
-0.050184747272377414     0.05573575828807775      0.08                     -5.053261797641446E-12   -0.05018474727237741     0.05573575828807775
-0.047779218410381664     0.04849710186603937      0.08                     -8.795974861012806E-12   -0.047779218410381664    0.04849710186603937
0.030505261385574422      -0.06851583108803186     0.07999999999999999      -5.561074001502797E-12   0.030505261385574422     -0.06851583108803186
0.024105485346246566      -0.06371227071089258     0.08                     -9.535050146060579E-12   0.024105485346246566     -0.06371227071089258
