% Model:              etm_deformation.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 14 2025, 14:53
% Dimension:          2
% Nodes:              308
% Expressions:        1
% Description:        Line
% cpl1x                   cpl1y                    Color
0                         -0.09                    0
0.0033333333333333322     -0.09                    1.0410806594098233E-20
0.006666666666666668      -0.09000000000000001     1.9255938869628728E-20
0.009999999999999998      -0.08999999999999998     2.6577664117115455E-20
0.02                      -0.09                    4.2524510520942037E-20
0.016666666666666666      -0.09000000000000001     3.7933433347516246E-20
0.013333333333333332      -0.08999999999999998     3.26142171353518E-20
0.023333333333333334      -0.09                    4.6421620413875485E-20
0.026666666666666675      -0.09000000000000001     4.966285592391071E-20
0.03                      -0.09                    5.224400916750206E-20
0.03333333333333333       -0.09000000000000001     5.4128940385722393E-20
0.03666666666666666       -0.08999999999999998     5.534280809321076E-20
0.039999999999999994      -0.09                    5.588386468207225E-20
0.04333333333333333       -0.09                    5.569805557216425E-20
0.04666666666666667       -0.09000000000000001     5.48092886323829E-20
0.049999999999999996      -0.09                    5.322295574857517E-20
0.05333333333333332       -0.09                    5.092730464531431E-20
0.05666666666666667       -0.09000000000000001     4.798738718467537E-20
0.05999999999999999       -0.09                    4.4445039480499295E-20
0.06333333333333332       -0.09                    4.0402202372185125E-20
0.06666666666666667       -0.09000000000000002     3.609680039534475E-20
0.06999999999999999       -0.09000000000000001     3.1799582608056914E-20
0.07333333333333332       -0.09                    2.8187013465241335E-20
0.07666666666666667       -0.09000000000000001     2.602951570218274E-20
0.07999999999999999       -0.09                    2.6149166068694435E-20
0.08333333333333333       -0.09                    2.8975278880195396E-20
0.08666666666666667       -0.09000000000000001     3.3956457958798604E-20
0.09                      -0.09                    4.041404902389422E-20
0.09333333333333334       -0.09                    4.762965183130852E-20
0.09666666666666669       -0.09000000000000001     5.515352391034897E-20
0.1                       -0.09                    6.28254258102126E-20
0.009999999999999998      0.08999999999999998      2.6283215445900183E-20
0.006666666666666666      0.09                     1.9395132557693428E-20
0.003333333333333334      0.09000000000000001      1.0659428803914232E-20
0                         0.09                     0
0.02                      0.09                     4.222158976452056E-20
0.016666666666666666      0.09                     3.763048667906988E-20
0.013333333333333336      0.09000000000000001      3.231536207312482E-20
0.03                      0.09                     5.179145799565757E-20
0.02666666666666667       0.09                     4.9265132397519575E-20
0.023333333333333338      0.09000000000000001      4.6073521191560063E-20
0.039999999999999994      0.09                     5.532647429659942E-20
0.03666666666666666       0.09                     5.482209006028842E-20
0.03333333333333334       0.09000000000000001      5.3643187080676033E-20
0.049999999999999996      0.09                     5.258868130446339E-20
0.04666666666666666       0.09                     5.419551879775483E-20
0.043333333333333335      0.09000000000000001      5.510986767851875E-20
0.05999999999999999       0.09                     4.3740775330474784E-20
0.05666666666666665       0.09                     4.7306773877282783E-20
0.05333333333333334       0.09000000000000001      5.027017058438747E-20
0.06999999999999999       0.09000000000000001      3.1163469771695076E-20
0.06666666666666665       0.09                     3.54139173834319E-20
0.06333333333333332       0.09000000000000001      3.969744688426912E-20
0.07999999999999999       0.09                     2.574036506300576E-20
0.07666666666666666       0.09                     2.5498471081732985E-20
