% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 5 2026, 11:27
% Dimension:          1
% Nodes:              2251
% Expressions:        3
% Description:        Line graph
% R                       Height                   Height                   Height
0                         9.422666065068133E-9     4.692307782905148E-9     3.1184094358099544E-9
3.33333333333334E-5       9.37053235908191E-9      4.686460836572676E-9     3.1167493853515593E-9
6.66666666666668E-5       9.249154954896212E-9     4.671144613587897E-9     3.112210315889122E-9
1.0000000000000021E-4     9.058415546441954E-9     4.646354329837425E-9     3.104791532139944E-9
1.3333333333333364E-4     8.788409687141013E-9     4.610905948979185E-9     3.0942238208413677E-9
1.66666666666667E-4       8.470929840635262E-9     4.566766366565087E-9     3.0808817537493475E-9
2.0000000000000042E-4     8.105811411087446E-9     4.513929714488723E-9     3.0647645055008738E-9
2.3333333333333385E-4     7.699267680451629E-9     4.451549857363628E-9     3.045607618043466E-9
2.666666666666672E-4      7.278398507481172E-9     4.382173434810435E-9     3.023940192385395E-9
3.000000000000006E-4      6.842953917661851E-9     4.3057906406423995E-9    2.9997607969660217E-9
3.33333333333334E-4       6.406454982927947E-9     4.2218311584190505E-9    2.972800324847842E-9
3.6666666666666743E-4     5.981747465102407E-9     4.132830586355766E-9     2.9436335229849624E-9
4.0000000000000083E-4     5.568522366590709E-9     4.038774471710055E-9     2.912258214645939E-9
4.3333333333333424E-4     5.180785368365384E-9     3.9396954239476825E-9    2.878501153455365E-9
4.666666666666676E-4      4.81760039613247E-9      3.837681047517589E-9     2.842903785885987E-9
5.000000000000011E-4      4.478690592147611E-9     3.732712595267697E-9     2.8054632083264262E-9
5.333333333333344E-4      4.17336267013767E-9      3.6253269680924833E-9    2.7661078850978344E-9
5.666666666666678E-4      3.8937617804218825E-9    3.5170145991159336E-9    2.7253146148347814E-9
6.000000000000011E-4      3.6397083610999903E-9    3.4077536376244E-9       2.6830799585773854E-9
6.333333333333346E-4      3.415417179236586E-9     3.2984872298531028E-9    2.6394391664965336E-9
6.666666666666679E-4      3.211525999786378E-9     3.1899991258130036E-9    2.5947938253353505E-9
7.000000000000014E-4      3.0279500873638336E-9    3.082267067921502E-9     2.5491401909554217E-9
7.333333333333348E-4      2.8661389625080593E-9    2.976372477156746E-9     2.5025689146599798E-9
