% Model:              pcal_mirror_deformation_3d_2beams.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 11 2025, 15:08
% Dimension:          3
% Nodes:              528
% Expressions:        3
% Description:        Displacement field, Z component, x-coordinate, y-coordinate
% Length unit:        m
% X                       Y                        Z                        w (m)                    x (m)                    y (m)
-0.06595254184097865      -0.01768257309856433     0.08                     -5.935193950800242E-12   -0.06595254184097865     -0.01768257309856433
-0.07335999609166174      -0.015593239986274841    0.07999999999999997      -3.219416848207868E-12   -0.07335999609166174     -0.015593239986274841
-0.0713292096594843       -0.023176311611205702    0.07999999999999997      -3.218665280415488E-12   -0.0713292096594843      -0.023176311611205702
-0.06851583108803186      -0.030505261385574422    0.07999999999999999      -3.2210353791699374E-12  -0.06851583108803186     -0.030505261385574422
-0.06350592983679272      -0.02424780793031376     0.08000000000000002      -6.053727285269506E-12   -0.06350592983679272     -0.024247807930313756
-0.07458787050279471      -0.007839467289912918    0.07999999999999997      -3.222103213682484E-12   -0.07458787050279471     -0.007839467289912918
-0.06733015781960319      -0.01049429033420786     0.07999999999999999      -5.991442905299339E-12   -0.06733015781960318     -0.01049429033420786
-0.06818822331682936      -0.0035364669519986833   0.08                     -5.936992019347991E-12   -0.06818822331682937     -0.0035364669519986833
-0.075                    0                        0.08                     -3.2241365133551436E-12  -0.075                   0
-0.06101296113128931      -0.031230763501007237    0.08000000000000002      -5.8282021189433805E-12  -0.06101296113128931     -0.031230763501007234
-0.06495177554317576      -0.037499966716002406    0.08                     -3.2222028414319043E-12  -0.06495177554317576     -0.037499966716002406
-0.06067625057185087      -0.04408391809753979     0.07999999999999997      -3.222535757020789E-12   -0.060676250571850866    -0.04408391809753979
-0.05745572558377908      -0.03677160645073259     0.08000000000000002      -5.959114769303361E-12   -0.05745572558377909     -0.03677160645073258
-0.07458908596708065      0.007839626105999796     0.08                     -3.2224773025939054E-12  -0.07458908596708065     0.007839626105999796
-0.06792689124442278      0.0037244175626017367    0.08                     -6.0337038238311015E-12  -0.06792689124442276     0.0037244175626017367
