% Model:              2d_displacement_ET.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 20 2025, 13:15
% Dimension:          1
% Nodes:              565
% Expressions:        1
% Description:        Line graph
% R                       Height
0                         7.3195477899306586E-9
1.329787234042553E-4      6.414583023826124E-9
2.659574468085106E-4      5.548863431436094E-9
3.9893617021276594E-4     4.719701293365223E-9
5.319148936170212E-4      3.924161460948702E-9
6.648936170212766E-4      3.1590615189667205E-9
7.978723404255319E-4      2.420984952241416E-9
9.308510638297872E-4      2.0855639560058648E-9
0.0010638297872340424     1.7979904927651033E-9
0.0011968085106382976     1.557972129939299E-9
0.0013297872340425527     1.365192699008436E-9
0.0014627659574468082     1.2194117996870143E-9
0.0015957446808510635     1.1206311448101626E-9
0.0017287234042553188     1.0348461151588184E-9
0.0018617021276595743     9.574150220952838E-10
0.00199468085106383       8.883338359544763E-10
0.002127659574468085      8.275997415132383E-10
0.0022606382978723407     7.752119823036275E-10
0.002393617021276596      7.311728020204853E-10
0.0025265957446808517     6.92596252860718E-10
0.0026595744680851063     6.567879873631475E-10
0.002792553191489362      6.23746700488164E-10
0.002925531914893617      5.934713165051778E-10
0.0030585106382978724     5.659611085132254E-10
0.0031914893617021275     5.412158331538888E-10
0.003324468085106383      5.189719281091753E-10
0.0034574468085106385     4.980467789872965E-10
0.0035904255319148936     4.784400476620342E-10
0.0037234042553191487     4.6015144227214873E-10
0.003856382978723404      4.4318073613717697E-10
0.00398936170212766       4.275277886872503E-10
0.004122340425531916      4.13113793216952E-10
0.004255319148936171      3.994243106742087E-10
0.004388297872340427      3.864592107419528E-10
0.004521276595744682      3.7421837588804707E-10
0.004654255319148938      3.6270170599749404E-10
0.004787234042553192      3.5190912346198437E-10
0.004920212765957448      3.4181072352707635E-10
0.005053191489361703      3.321567018820754E-10
0.005186170212765958      3.229470037976846E-10
0.0053191489361702135     3.1418157755151323E-10
0.005452127659574469      3.058603756321086E-10
0.0055851063829787245     2.9798335606662473E-10
0.00571808510638298       2.905251193433687E-10
0.0058510638297872355     2.8335585508149144E-10
0.00598404255319149       2.7647552819127266E-10
0.006117021276595746      2.6988410504631295E-10
0.00625                   2.6358155404311187E-10
0.006382978723404256      2.575678462143739E-10
0.006515957446808511      2.5183352450228965E-10
0.006648936170212767      2.462989021811119E-10
0.0067819148936170215     2.4096395959076953E-10
0.006914893617021276      2.3582867745562037E-10
0.0070478723404255325     2.308930370955547E-10
0.007180851063829787      2.2615702065851563E-10
0.007313829787234043      2.216129504188454E-10
0.007446808510638298      2.1721206190124118E-10
0.007579787234042554      2.129543413454308E-10
0.007712765957446809      2.0883977516947117E-10
0.007845744680851065      2.04868350083189E-10
0.00797872340425532       2.010400532126692E-10
0.008111702127659576      1.973518354172053E-10
0.008244680851063831      1.93769747033121E-10
0.008377659574468085      1.9029377885182203E-10
0.00851063829787234       1.8692392169000669E-10
0.008643617021276596      1.8366016644511901E-10
0.008776595744680852      1.8050250415639452E-10
0.008909574468085107      1.7744919201954611E-10
0.009042553191489363      1.7447677834834185E-10
0.009175531914893618      1.7158525632562851E-10
0.009308510638297874      1.687746191267244E-10
0.00944148936170213       1.6604485995201002E-10
0.009574468085106385      1.6339597206274227E-10
0.009707446808510642      1.6082735625031985E-10
0.009840425531914896      1.5832176342262296E-10
0.009973404255319151      1.5587918853645416E-10
0.010106382978723407      1.5349962651901224E-10
0.010239361702127662      1.5118307228664494E-10
0.010372340425531918      1.4892952076549042E-10
0.010505319148936175      1.4673846904938513E-10
0.010638297872340429      1.4459758393875162E-10
0.010771276595744684      1.425068615129104E-10
0.01090425531914894       1.404662978201258E-10
0.011037234042553195      1.3847588888957586E-10
0.01117021276595745       1.3653563074451321E-10
0.011303191489361706      1.346451463361112E-10
