% Model:              etm_deformation.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 14 2025, 15:55
% Dimension:          1
% Nodes:              152
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         6.003855957999778E-20
0.0042861674276383765     6.57972623375472E-20
0.008028435745155896      7.082520658923782E-20
0.008572334855276767      7.155596509509662E-20
0.009195283947090696      7.23929316190148E-20
0.012858502282915157      7.731466785264605E-20
0.01520371499195787       8.261678363519162E-20
0.015794197775256147      8.395176193911066E-20
0.016381583093952462      8.527973741727807E-20
0.018729893267597136      9.058885602557526E-20
0.021090586807672368      9.59259712596537E-20
0.021817932474376397      9.752730504681086E-20
0.02596371345936188       1.119143310219177E-19
0.026357505359130298      1.1328089966393551E-19
0.03066090049209237       1.2821489105983903E-19
0.03089707824388417       1.2903449428106007E-19
0.03535808752482285       1.4451545109776034E-19
0.03542901079519577       1.4475826309717258E-19
0.03559052110912689       1.458423495385885E-19
0.04048063363323902       1.7622456801200962E-19
0.04357569223928068       1.954541350808928E-19
0.04554072588654017       2.0766286878268036E-19
0.04864542821108028       2.269523521747302E-19
0.05060081813984133       2.3910116955335123E-19
0.05148689143846595       2.5095222482224606E-19
0.054276465527262854      2.882622270018903E-19
0.05740264482807006       3.3007425737437616E-19
0.057958627607582136      3.3706745308602023E-19
0.061106981024108234      3.7666769327783314E-19
0.06167785480339086       3.8384818917138003E-19
0.06176161255703666       3.8596875214947783E-19
0.06364917872888545       4.337577957723452E-19
0.06539730124535856       4.780164312807494E-19
0.06562050265438003       4.836674023733101E-19
0.06588486914881406       4.903605833188858E-19
0.06805654082203605       5.439328369134116E-19
0.06843769264128888       5.594542587696348E-19
0.06949372161079471       6.024583067634858E-19
0.07063371328094495       6.488815185421096E-19
0.07093090239955338       6.609837766135599E-19
0.07149375435229027       6.839044663748045E-19
0.07238312059085054       7.161819299410277E-19
0.07268792797153228       7.320027042304026E-19
0.0733810243769491        7.8450227896770555E-19
0.07416276220324264       8.370920403566562E-19
0.07508457607481418       8.991051218789116E-19
0.07583289082698653       9.494464165392503E-19
0.07646749393482358       9.921380004633285E-19
0.07750301945073043       1.0618007927218447E-18
0.07813030964036176       1.142873426086768E-18
0.07833534630048694       1.1693729031190283E-18
0.07849985711639762       1.1906347134953848E-18
0.07916767315024348       1.2769450135162113E-18
0.08                      1.3845171239133953E-18
0.08076912069998252       1.535615767032641E-18
0.08141723042131707       1.6629410353400357E-18
0.08153824139996502       1.686714410151887E-18
0.08168184678889767       1.714926600270849E-18
0.08230736209994753       1.8378130532711334E-18
0.08269745998432462       1.986825398077426E-18
0.08322642783473891       2.1888842732319116E-18
0.08374633099132556       2.387480552621839E-18
0.08407504761404418       2.502639797666455E-18
0.0845576819076976        2.671720997242247E-18
0.08483191261315261       2.767792199078863E-18
0.08525923610119766       3.471726256178255E-18
0.085984831691843         4.6670067924134595E-18
0.08646065754471567       5.450839257644381E-18
0.0870871107634094        6.1616534923747585E-18
0.08772269748043537       6.882831183519303E-18
0.08815380267554121       7.371990948691267E-18
0.08940827823934844       7.61652501742465E-18
0.08942496047356706       7.607017115826435E-18
0.0895209430446302        7.552312642261774E-18
0.09070622964446523       6.876768335112809E-18
0.09091223817763563       6.759355473255818E-18
0.0919874988153634        6.146519554399183E-18
0.09236703008887104       5.769449015344412E-18
0.09294494743346302       5.1952786640044365E-18
0.09369849909275738       4.446612743144515E-18
0.09391332036741827       4.2005681422809805E-18
0.09470156909904487       3.2977509289467936E-18
0.09492206681350396       3.045204842759347E-18
0.09515450795873102       2.944281665267666E-18
0.09562426054675341       2.7403206850726856E-18
0.09621191003464984       2.4851702747960187E-18
0.0963689099889622        2.410314029731711E-18
0.0972917668833521        1.9703036988478503E-18
0.09733137112089274       1.951420734684506E-18
0.09742578173805021       1.9312859729863702E-18
0.09822091408059516       1.761709703731421E-18
0.09864076019361112       1.6721699709134037E-18
0.09911045704029757       1.571998672778337E-18
0.09999999999999999       1.3822876418252526E-18
0.10079960605000604       1.2787851188960719E-18
0.10151453095659048       1.1862438837017687E-18
0.10159921210001209       1.1752825959668912E-18
0.10169392352211773       1.1630229699447144E-18
0.10239881815001814       1.0717800730377108E-18
0.10317645275025183       1.0148409927119298E-18
0.10361154710058638       9.829830067689858E-19
0.10441589993595657       9.240875940781812E-19
0.10482427605115463       8.941859405002605E-19
0.10504517679610256       8.780113962389396E-19
0.10597621306609781       8.014289915415482E-19
0.10652690063773533       7.754021093706175E-19
0.10732079287196399       7.391921523980806E-19
0.10884503486157837       6.696704535074298E-19
0.10894361090044606       6.651743342962496E-19
0.10899495363491428       6.628325577606056E-19
0.11056642892892812       5.911565161944187E-19
0.11134794018976671       5.665437633811663E-19
0.11255003205401345       5.286853326763042E-19
0.11349924420149114       4.987910430813778E-19
0.11395175266859922       4.88201779078606E-19
0.11523073046599672       4.582720992277954E-19
0.11655481611264767       4.272868392960309E-19
0.11702328395275016       4.163241060076201E-19
0.11915787955669616       3.663718995134558E-19
0.12069616887435994       3.4610669420433715E-19
0.1219480000856436        3.296152473628849E-19
0.12459772383421036       2.9470816248583276E-19
0.1247868255745464        2.9267876403961345E-19
0.12845179400995116       2.5334712576364436E-19
0.1285448650847159        2.523483073805885E-19
0.1309993934733892        2.2996873008796613E-19
0.13152086069511137       2.252141645885595E-19
0.13351466252938018       2.0703533949853542E-19
0.13644178529202292       1.9076263198126862E-19
0.13741939938254433       1.853277973501953E-19
0.13818835618796707       1.810529478810329E-19
0.14132413623570841       1.6362025520185536E-19
0.14516442149858444       1.4227101776528417E-19
0.14522802163583176       1.4187804286277204E-19
0.14526589558366432       1.4175131137927505E-19
0.1473121103304536        1.3476018251935087E-19
0.14948388577911767       1.2730976225181874E-19
0.1495314244028318        1.2714667783817544E-19
0.15372210594864266       1.12770265791116E-19
0.15386241620488467       1.122889221156033E-19
0.15796032611816763       9.82307693304133E-20
0.15826759015498298       9.753650533816317E-20
0.16094546196030593       9.139900710404092E-20
0.16347301628665095       8.560602620639129E-20
0.16387539303915327       8.468380632901477E-20
0.16430169974576384       8.370674064057673E-20
0.16680532411800064       7.796860555398859E-20
0.17067456064668984       7.272305715426441E-20
0.17120354941200044       7.200590374408325E-20
0.1716757456145247        7.136574436996863E-20
0.1756017747060002        6.604320193417793E-20
0.18                      6.00805001242726E-20
