% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 24 2025, 11:18
% Dimension:          1
% Nodes:              565
% Expressions:        1
% Description:        Line graph
% R                       Height
0                         5.320354243436148E-10
1.329787234042553E-4      5.319091862972915E-10
2.659574468085106E-4      5.315999680161563E-10
3.9893617021276594E-4     5.311077186408224E-10
5.319148936170212E-4      5.304324003335689E-10
6.648936170212766E-4      5.295739882080756E-10
7.978723404255319E-4      5.285324703259627E-10
9.308510638297872E-4      5.272617104513607E-10
0.0010638297872340424     5.258180123028763E-10
0.0011968085106382976     5.242013187657696E-10
0.0013297872340425527     5.224115849383583E-10
0.0014627659574468082     5.204487781724414E-10
0.0015957446808510635     5.183128781758527E-10
0.0017287234042553188     5.159576902450169E-10
0.0018617021276595743     5.13450725744294E-10
0.00199468085106383       5.107919029692095E-10
0.002127659574468085      5.079811510078137E-10
0.0022606382978723407     5.050184098115086E-10
0.002393617021276596      5.019036303174338E-10
0.0025265957446808517     4.985935739871842E-10
0.0026595744680851063     4.95159484671907E-10
0.002792553191489362      4.916012599409977E-10
0.002925531914893617      4.879188062424951E-10
0.0030585106382978724     4.841120389894072E-10
0.0031914893617021275     4.801808826845627E-10
0.003324468085106383      4.760925440100272E-10
0.0034574468085106385     4.719111584822098E-10
0.0035904255319148936     4.676365981888623E-10
0.0037234042553191487     4.632687419435818E-10
0.003856382978723404      4.5880747535286477E-10
0.00398936170212766       4.542526909076124E-10
0.004122340425531916      4.4958287234416355E-10
0.004255319148936171      4.44853477008847E-10
0.004388297872340427      4.400643587940531E-10
0.004521276595744682      4.352153759537034E-10
0.004654255319148938      4.303063911490022E-10
0.004787234042553192      4.2533727150614534E-10
0.004920212765957448      4.202986272149763E-10
0.005053191489361703      4.1523149691222047E-10
0.005186170212765958      4.101357119835234E-10
0.0053191489361702135     4.0501110595677985E-10
0.005452127659574469      3.9985751451899835E-10
0.0055851063829787245     3.946747755361484E-10
0.00571808510638298       3.894675990924787E-10
0.0058510638297872355     3.8426095648526513E-10
0.00598404255319149       3.7905467256859414E-10
0.006117021276595746      3.73848572317683E-10
0.00625                   3.686424808387215E-10
0.006382978723404256      3.63436223378716E-10
0.006515957446808511      3.582409251117362E-10
0.006648936170212767      3.5307007461148203E-10
0.0067819148936170215     3.4792348764852514E-10
0.006914893617021276      3.4280097857027546E-10
0.0070478723404255325     3.377023603254107E-10
0.007180851063829787      3.326274444910442E-10
0.007313829787234043      3.2759510998116176E-10
0.007446808510638298      3.226056001430077E-10
0.007579787234042554      3.176587322784992E-10
0.007712765957446809      3.127543212745093E-10
0.007845744680851065      3.0789217966466765E-10
0.00797872340425532       3.0307211770098684E-10
0.008111702127659576      2.9831518647841765E-10
0.008244680851063831      2.9361375416386207E-10
0.008377659574468085      2.8896764568953284E-10
0.00851063829787234       2.843766831726168E-10
0.008643617021276596      2.7984068603268556E-10
0.008776595744680852      2.753594711278596E-10
0.008909574468085107      2.7095591466928535E-10
0.009042553191489363      2.666150850211537E-10
0.009175531914893618      2.623368204372526E-10
0.009308510638297874      2.5812095647052054E-10
0.00944148936170213       2.5396732615013325E-10
0.009574468085106385      2.498757601850052E-10
0.009707446808510642      2.458678275496483E-10
0.009840425531914896      2.419251945004372E-10
0.009973404255319151      2.3804771953908994E-10
0.010106382978723407      2.3423525890751045E-10
0.010239361702127662      2.30487666803649E-10
0.010372340425531918      2.268047956271851E-10
0.010505319148936175      2.2320680510535774E-10
0.010638297872340429      2.1967314079045434E-10
0.010771276595744684      2.1620368287427392E-10
0.01090425531914894       2.127983099110746E-10
0.011037234042553195      2.0945689905387163E-10
0.01117021276595745       2.061793263201837E-10
0.011303191489361706      2.029825874928163E-10
0.011436170212765962      1.9984655827575997E-10
0.011569148936170217      1.9677114243419975E-10
0.011702127659574473      1.9375624268254327E-10
0.011835106382978727      1.908017609085402E-10
0.011968085106382982      1.8790759842267996E-10
0.01210106382978724       1.850885262809615E-10
0.012234042553191495      1.8232489085160931E-10
0.012367021276595749      1.796166173650083E-10
0.012500000000000006      1.7696363048770723E-10
0.01263297872340426       1.7436585451765393E-10
0.012765957446808515      1.7182321359915385E-10
0.012898936170212772      1.693471971451121E-10
0.013031914893617028      1.6692069208134113E-10
0.013164893617021282      1.6454364299611292E-10
0.013297872340425539      1.6221599422044698E-10
0.013430851063829793      1.5993768998103605E-10
0.013563829787234048      1.5770867456715144E-10
0.013696808510638305      1.555378286668366E-10
0.013829787234042561      1.5341032482185046E-10
0.013962765957446815      1.5132612286019066E-10
0.014095744680851072      1.492851825412595E-10
0.014228723404255326      1.4728746366926103E-10
0.014361702127659581      1.4533292621594354E-10
0.014494680851063839      1.4342805256845985E-10
0.014627659574468094      1.4156059783816175E-10
0.014760638297872348      1.3973053382171795E-10
0.014893617021276605      1.379378323218389E-10
0.015026595744680859      1.3618246522507317E-10
0.015159574468085114      1.3446440458548343E-10
