% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 24 2025, 11:34
% Dimension:          1
% Nodes:              565
% Expressions:        1
% Description:        Line graph
% R                       Height
0                         5.7608225009986625E-9
1.329787234042553E-4      5.476063671695174E-9
2.659574468085106E-4      5.1426344530840844E-9
3.9893617021276594E-4     4.759371461548488E-9
5.319148936170212E-4      4.325369403253993E-9
6.648936170212766E-4      3.83999162358407E-9
7.978723404255319E-4      3.30294844588368E-9
9.308510638297872E-4      2.883647627962022E-9
0.0010638297872340424     2.5151026104367087E-9
0.0011968085106382976     2.1967711667936785E-9
0.0013297872340425527     1.9279739511788522E-9
0.0014627659574468082     1.7079648195224332E-9
0.0015957446808510635     1.5361110275866747E-9
0.0017287234042553188     1.4092584751960063E-9
0.0018617021276595743     1.295647067904772E-9
0.00199468085106383       1.1952531520968629E-9
0.002127659574468085      1.1080564628791675E-9
0.0022606382978723407     1.034044357792952E-9
0.002393617021276596      9.732169455829233E-10
0.0025265957446808517     9.204418875106022E-10
0.0026595744680851063     8.715719955804366E-10
0.002792553191489362      8.26604854651561E-10
0.002925531914893617      7.855384314525321E-10
0.0030585106382978724     7.483712953202026E-10
0.0031914893617021275     7.151028692616089E-10
0.003324468085106383      6.853387221059372E-10
0.0034574468085106385     6.573602929840044E-10
0.0035904255319148936     6.311670037634106E-10
0.0037234042553191487     6.0675834715794E-10
0.003856382978723404      5.841339181127169E-10
0.00398936170212766       5.632934487855782E-10
0.004122340425531916      5.441457183928378E-10
0.004255319148936171      5.25968604744088E-10
0.004388297872340427      5.087618992750397E-10
0.004521276595744682      4.925254125739283E-10
0.004654255319148938      4.772589816850229E-10
0.004787234042553192      4.629624781625857E-10
0.004920212765957448      4.495997178751162E-10
0.005053191489361703      4.368290127244765E-10
0.005186170212765958      4.2465027947669063E-10
0.0053191489361702135     4.1306343932734654E-10
0.005452127659574469      4.020684197326352E-10
0.0055851063829787245     3.916651564316416E-10
0.00571808510638298       3.8182064548688126E-10
0.0058510638297872355     3.7235947709068347E-10
0.00598404255319149       3.632816000560133E-10
0.006117021276595746      3.545869652977364E-10
0.00625                   3.4627552665142286E-10
0.006382978723404256      3.3834724177148905E-10
0.006515957446808511      3.3079003633504847E-10
0.006648936170212767      3.2349708175251503E-10
0.0067819148936170215     3.164683499801942E-10
0.006914893617021276      3.0970381352715804E-10
0.0070478723404255325     3.032034457588695E-10
0.007180851063829787      2.9696722123166116E-10
0.007313829787234043      2.9098516763288623E-10
0.007446808510638298      2.851922181107332E-10
0.007579787234042554      2.795883534090282E-10
0.007712765957446809      2.7417355452628706E-10
0.007845744680851065      2.6894780287583387E-10
0.00797872340425532       2.639110804615032E-10
0.008111702127659576      2.590594736151837E-10
0.008244680851063831      2.543478517060944E-10
0.008377659574468085      2.497762020032106E-10
0.00851063829787234       2.453445118151007E-10
0.008643617021276596      2.410527685673724E-10
0.008776595744680852      2.36900959887906E-10
0.008909574468085107      2.3288684926642313E-10
0.009042553191489363      2.289793358427575E-10
0.009175531914893618      2.251784102879976E-10
0.009308510638297874      2.214840632659322E-10
0.00944148936170213       2.1789628547808073E-10
0.009574468085106385      2.1441506771316196E-10
0.009707446808510642      2.110396574970123E-10
0.009840425531914896      2.077472269477245E-10
0.009973404255319151      2.0453776921282933E-10
0.010106382978723407      2.01411277401685E-10
0.010239361702127662      1.9836774461120965E-10
0.010372340425531918      1.9540716395419448E-10
0.010505319148936175      1.9252889550213076E-10
0.010638297872340429      1.8971663913488612E-10
0.010771276595744684      1.869703895569625E-10
0.01090425531914894       1.8429014143223978E-10
0.011037234042553195      1.8167588940029173E-10
0.01117021276595745       1.7912762809431824E-10
0.011303191489361706      1.7664487432162163E-10
0.011436170212765962      1.7421542746152439E-10
0.011569148936170217      1.7183928340776936E-10
0.011702127659574473      1.6951643801209974E-10
0.011835106382978727      1.6724688709449583E-10
0.011968085106382982      1.650306264544391E-10
0.01210106382978724       1.6286714341263216E-10
0.012234042553191495      1.607473522429198E-10
0.012367021276595749      1.5867124958162644E-10
0.012500000000000006      1.5663883202974173E-10
0.01263297872340426       1.546500961601507E-10
0.012765957446808515      1.5270503852556722E-10
0.012898936170212772      1.508034371987486E-10
0.013031914893617028      1.489380740035567E-10
0.013164893617021282      1.4710894624036315E-10
0.013297872340425539      1.453160511773014E-10
0.013430851063829793      1.4355938605510774E-10
0.013563829787234048      1.4183894809243827E-10
0.013696808510638305      1.4015444723050933E-10
0.013829787234042561      1.3850037872105935E-10
0.013962765957446815      1.3687674030602017E-10
0.014095744680851072      1.3528352970038705E-10
0.014228723404255326      1.3372074459578283E-10
0.014361702127659581      1.321883826643631E-10
0.014494680851063839      1.3068625154317278E-10
0.014627659574468094      1.2920988260244451E-10
0.014760638297872348      1.2775927397099823E-10
0.014893617021276605      1.2633442375426207E-10
0.015026595744680859      1.2493533003682054E-10
0.015159574468085114      1.235619908852058E-10
0.01529255319148937       1.222142625915679E-10
0.015425531914893627      1.208885645183436E-10
0.01555851063829788       1.195848950651511E-10
0.015691489361702136      1.1830325261226917E-10
0.015824468085106392      1.170436355226083E-10
0.015957446808510647      1.1580604214386358E-10
0.016090425531914903      1.1459042274887473E-10
0.01622340425531916       1.1339376981209442E-10
0.016356382978723414      1.1221608196974614E-10
0.01648936170212767       1.1105735784164718E-10
0.016622340425531925      1.0991759603271098E-10
0.01675531914893618       1.0879679513458515E-10
0.016888297872340436      1.0769488008235296E-10
0.01702127659574469       1.0660944043332167E-10
0.017154255319148947      1.0554047500813187E-10
0.017287234042553203      1.0448798261375456E-10
0.017420212765957458      1.0345196204468476E-10
0.017553191489361714      1.0243241208423924E-10
0.01768617021276597       1.0142927541854625E-10
0.017819148936170225      1.0044052004594578E-10
0.01795212765957448       9.946614494968166E-11
0.018085106382978736      9.850614910140294E-11
0.01821808510638299       9.756053146210043E-11
0.018351063829787247      9.662929098312354E-11
0.018484042553191502      9.571236331734478E-11
0.018617021276595758      9.480808006018916E-11
0.018750000000000013      9.39164403186023E-11
0.01888297872340427       9.303744318992736E-11
0.019015957446808524      9.217108776267869E-11
0.01914893617021278       9.131737311737891E-11
0.019281914893617035      9.047625056915194E-11
0.01941489361702129       8.964629730857568E-11
0.019547872340425546      8.882751255961835E-11
0.019680851063829802      8.801989553809383E-11
0.019813829787234057      8.722344545228292E-11
