% Model:              pcal_mirror_deformation_3d_2beams.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 10 2025, 16:30
% Dimension:          1
% Nodes:              181
% Expressions:        1
% Description:        Line graph
% cln2x                   Height
0                         1.0728108060013761E-11
0.0023316859985296617     1.2107296105637495E-11
0.004310056781543933      1.3277498841110946E-11
0.00466337199705931       1.3486484151261226E-11
0.005079785415695398      1.3732791934291341E-11
0.006995057995588971      1.486567219688496E-11
0.00822745198362855       1.577882417086921E-11
0.008645524810756311      1.6088598505267074E-11
0.009071946495052982      1.640455899074835E-11
0.010295991625923637      1.7311524813649176E-11
0.011496071329279045      1.8200733265404647E-11
0.012081816776903023      1.8626787045211024E-11
0.01460287433410154       2.0932693064174E-11
0.015201996817969465      2.148068536911062E-11
0.017579287562354842      2.365509389090367E-11
0.018322176859035894      2.433458369301021E-11
0.020555700790608145      2.637749471763334E-11
0.0212777027775626        2.7030396392243775E-11
0.02262295124835484       2.8873620924225954E-11
0.024048073360146492      3.070092265961847E-11
0.025106608197429603      3.2058183577217406E-11
0.0268532143322269        3.429769441966015E-11
0.0292046976614665        3.731278311466616E-11
0.029658355304307313      3.789446617970184E-11
0.029959503827590793      3.850179531215411E-11
0.032094421684729105      4.2807304752796984E-11
0.0343286205926542        4.7313035246446744E-11
0.03454267631273288       4.7729310974655563E-11
0.034977836254527         4.857556970388302E-11
0.03712582622178619       5.2752781541424124E-11
0.0383124614372893        5.6567262144985414E-11
0.03981531219240009       6.139822871375272E-11
0.042281975638043555      6.932740504864802E-11
0.04247781741862546       6.990448806388448E-11
0.04261321066668434       7.030344861050696E-11
0.04484164361350856       7.686992691960172E-11
0.045752177164290905      8.029714889696465E-11
0.04727633702030792       8.866260833756392E-11
0.04785792329872416       9.185468586413922E-11
0.04978322715321239       1.0242185258354069E-10
0.049963669433157415      1.034122228313138E-10
0.05091087451395295       1.0861102507901988E-10
0.052147892152369424      1.1496623250595579E-10
0.052569726167367         1.1876993705176745E-10
0.054028953033879785      1.3121907844640778E-10
0.055399870721646566      1.4291482537039877E-10
0.05585376485257653       1.4678714457162631E-10
0.05667764270439831       1.538159158371614E-10
0.05767857667127327       1.6235521069684477E-10
0.05877957238610984       1.7738468365407886E-10
0.058857676966219824      1.784508737025781E-10
