% Model:              pcal_mirror_deformation_3d_2beams.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 11 2025, 14:18
% Dimension:          3
% Nodes:              702
% Expressions:        3
% Description:        Displacement field, Z component, x-coordinate, y-coordinate
% Length unit:        m
% X                       Y                        Z                        w (m)                    x (m)                    y (m)
-0.065964797763572        -0.017705991897075994    0.08                     -5.725390867432945E-12   -0.065964797763572       -0.017705991897075998
-0.07335999609166174      -0.015593239986274841    0.07999999999999997      -3.0378792232436144E-12  -0.07335999609166174     -0.015593239986274841
-0.0713292096594843       -0.023176311611205702    0.07999999999999997      -3.103677506480667E-12   -0.0713292096594843      -0.023176311611205702
-0.06851583108803186      -0.030505261385574422    0.07999999999999999      -3.1979816891343096E-12  -0.06851583108803186     -0.030505261385574422
-0.06357013009495874      -0.023944242774278736    0.08                     -5.954820367228319E-12   -0.06357013009495872     -0.023944242774278732
-0.07458787050279471      -0.007839467289912918    0.07999999999999997      -2.996529759514387E-12   -0.07458787050279471     -0.007839467289912918
-0.06712703512501783      -0.010335793691860433    0.08                     -5.8111049017130185E-12  -0.06712703512501783     -0.010335793691860433
-0.06816838894481834      -0.003523175123788004    0.08000000000000002      -5.645849391505936E-12   -0.06816838894481834     -0.003523175123788004
-0.075                    0                        0.08                     -2.982003070162495E-12   -0.075                   0
-0.0025                   -0.01                    0.08                     -3.9655280535577914E-10  -0.0025                  -0.01
-0.0023083967918396927    -0.009040163924954756    0.07999999999999999      -3.9853620151551935E-10  -0.0023083967918396927   -0.009040163924954756
-0.0033024055639317568    -0.009340781163665927    0.08                     -3.0006561230839424E-10  -0.0033024055639317568   -0.009340781163665927
-0.06092850806776169      -0.03107054255163929     0.08                     -5.896181411636354E-12   -0.060928508067761684    -0.031070542551639293
-0.06495177554317576      -0.037499966716002406    0.08                     -3.3104808777400062E-12  -0.06495177554317576     -0.037499966716002406
-0.06067625057185087      -0.04408391809753979     0.07999999999999997      -3.438015320852821E-12   -0.060676250571850866    -0.04408391809753979
-0.05746283433149374      -0.036514951498567705    0.08                     -6.1412896052689456E-12  -0.05746283433149374     -0.036514951498567705
-0.002308395780799974     -0.010959838506696235    0.07999999999999999      -3.955130013603737E-10   -0.002308395780799974    -0.010959838506696235
-0.003316297171266157     -0.010663791480234767    0.07999999999999999      -2.9618615259856923E-10  -0.003316297171266157    -0.010663791480234767
-0.07458908596708065      0.007839626105999796     0.08                     -2.993780191434859E-12   -0.07458908596708065     0.007839626105999796
-0.0678125683390057       0.003806154186183734     0.08                     -5.779347681766151E-12   -0.06781256833900572     0.003806154186183734
-0.07336097335751122      0.015593346475658632     0.08000000000000002      -3.0348931588962293E-12  -0.07336097335751122     0.015593346475658632
-0.0673401522042109       0.010985150990402294     0.08                     -5.694537601196602E-12   -0.0673401522042109      0.010985150990402294
-0.0023083957806620484    0.009040161492972041     0.08                     -3.9957389318383023E-10  -0.0023083957806620484   0.009040161492972041
-0.0025                   0.01                     0.08                     -3.964305832493444E-10   -0.0025                  0.01
-0.003303188445072415     0.009340623075042152     0.08                     -3.0004654659837545E-10  -0.003303188445072415    0.009340623075042152
-0.001767768125393209     -0.008232234219461248    0.07999999999999999      -4.018416827233645E-10   -0.001767768125393209    -0.008232234219461248
-0.0028012225889558033    -0.008125541488792194    0.07999999999999999      -3.0371296129314963E-10  -0.0028012225889558033   -0.008125541488792194
-0.05322843564956724      -0.042830956909564066    0.08000000000000002      -6.2036510889356664E-12  -0.053228435649567245    -0.042830956909564066
-0.05573575828807775      -0.050184747272377414    0.08                     -3.5741763931940835E-12  -0.05573575828807775     -0.05018474727237741
-0.05018470437959347      -0.0557357969065981      0.08000000000000002      -3.715913414963663E-12   -0.05018470437959347     -0.0557357969065981
-0.04847464250035933      -0.04764191281508458     0.08                     -6.498317472028253E-12   -0.04847464250035933     -0.04764191281508457
-0.0017677657805639355    -0.011767768125368021    0.07999999999999999      -3.934227984914652E-10   -0.0017677657805639355   -0.011767768125368021
-0.0027973106427198087    -0.011871845639282404    0.08                     -2.9503751000953436E-10  -0.0027973106427198087   -0.011871845639282404
-0.07132922749615196      0.023176256720120806     0.08                     -3.106207923918633E-12   -0.07132922749615196     0.023176256720120806
-0.06506220434861794      0.018214701356897234     0.07999999999999999      -6.0202248805897065E-12  -0.06506220434861794     0.018214701356897234
-0.0685158545617348       0.030505208658311148     0.08                     -3.1988020775288128E-12  -0.0685158545617348      0.030505208658311148
-0.06351955039965061      0.024709004717220456     0.08000000000000002      -5.877649360155002E-12   -0.06351955039965061     0.024709004717220456
-0.0023081206767966837    0.010960499891122152     0.07999999999999999      -3.951009136921003E-10   -0.0023081206767966837   0.010960499891122152
-0.003324866109907912     0.010643728510198826     0.08                     -2.956276946553948E-10   -0.003324866109907912    0.010643728510198826
-0.0028051991386188573    0.008129969943522379     0.08                     -3.032752658352614E-10   -0.0028051991386188573   0.008129969943522379
-0.0017677657804735494    0.00823223187454159      0.08                     -4.01816717454763E-10    -0.0017677657804735494   0.00823223187454159
-0.0018779589887511876    0.0071963364327173665    0.08                     -3.058870460797993E-10   -0.0018779589887511876   0.0071963364327173665
-9.598360750814501E-4     0.007691603208175361     0.08000000000000003      -4.0343312043004537E-10  -9.598360750814501E-4    0.007691603208175361
-9.598385069172797E-4     -0.007691604219291932    0.07999999999999999      -4.040354378964198E-10   -9.598385069172797E-4    -0.007691604219291932
-0.0018731952523028846    -0.007200672465593819    0.08                     -3.0644929363776006E-10  -0.0018731952523028846   -0.007200672465593819
