% Model:              pcal_mirror_deformation_3d_2beams.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 26 2025, 10:29
% Dimension:          3
% Nodes:              1158
% Expressions:        3
% Description:        Displacement field, Z component, x-coordinate, y-coordinate
% Length unit:        m
% X                       Y                        Z                        w (m)                    x (m)                    y (m)
-0.05573575828807775      -0.050184747272377414    0.08                     -5.141441817028289E-12   -0.05573575828807775     -0.05018474727237741
-0.05018470437959347      -0.0557357969065981      0.08000000000000002      -5.3754869770999806E-12  -0.05018470437959347     -0.0557357969065981
-0.048405584175731126     -0.04742953490616882     0.07999999999999999      -9.197821473022258E-12   -0.048405584175731126    -0.04742953490616882
-0.05316607630005113      -0.042935780551693385    0.07999999999999999      -8.645823302759525E-12   -0.05316607630005112     -0.042935780551693385
-0.06067625057185087      -0.04408391809753979     0.07999999999999997      -4.904774651448658E-12   -0.060676250571850866    -0.04408391809753979
-0.04350826545046081      -0.05286548730944404     0.08                     -9.091383085577498E-12   -0.04350826545046082     -0.05286548730944405
-0.04408387140455927      -0.06067628449743351     0.08000000000000002      -5.604829570513064E-12   -0.04408387140455927     -0.06067628449743351
-0.03749991673258768      -0.0649518044021882      0.07999999999999999      -5.8177544694837555E-12  -0.03749991673258768     -0.0649518044021882
-0.03749709193241407      -0.05660934160899393     0.08                     -9.654599052347635E-12   -0.03749709193241407     -0.05660934160899394
-0.06495177554317576      -0.037499966716002406    0.08                     -4.690437277441626E-12   -0.06495177554317576     -0.037499966716002406
-0.057420527875399516     -0.03693612697622638     0.08                     -8.41001924364851E-12    -0.05742052787539952     -0.036936126976226384
-0.061204215726103316     -0.030967479906964003    0.08                     -8.003769259806996E-12   -0.061204215726103316    -0.030967479906964
-0.06851583108803186      -0.030505261385574422    0.07999999999999999      -4.484553790622413E-12   -0.06851583108803186     -0.030505261385574422
-0.031566632790559684     -0.060759679273475184    0.08                     -9.575440669662696E-12   -0.031566632790559684    -0.06075967927347519
-0.030505208658311148     -0.0685158545617348      0.08                     -6.009918193789349E-12   -0.030505208658311148    -0.0685158545617348
-0.023176256720120806     -0.07132922749615196     0.08                     -6.169835937183154E-12   -0.023176256720120806    -0.07132922749615196
-0.02508205930690377      -0.06318618663845314     0.08000000000000002      -1.0038626347299285E-11  -0.02508205930690377     -0.06318618663845314
-0.0713292096594843       -0.023176311611205702    0.07999999999999997      -4.300978966174835E-12   -0.0713292096594843      -0.023176311611205702
-0.06353169154322912      -0.02410109063385018     0.08                     -8.127226282498663E-12   -0.06353169154322912     -0.024101090633850183
-0.06598921976368428      -0.017689951118516796    0.08000000000000002      -7.75556194731562E-12    -0.06598921976368428     -0.017689951118516792
-0.07335999609166174      -0.015593239986274841    0.07999999999999997      -4.152113480721807E-12   -0.07335999609166174     -0.015593239986274841
-0.015593346475658632     -0.07336097335751122     0.08000000000000002      -6.283297553390631E-12   -0.015593346475658632    -0.07336097335751122
-0.018277635256470737     -0.06589529519589771     0.07999999999999999      -9.979182865419174E-12   -0.018277635256470737    -0.06589529519589771
-0.007839626105999796     -0.07458908596708065     0.08                     -6.357362309261217E-12   -0.007839626105999796    -0.07458908596708065
-0.011469390910730647     -0.06698617975774955     0.08                     -1.0328237261373895E-11  -0.011469390910730647    -0.06698617975774955
-0.005                    -0.01                    0.08                     -2.9297993266382825E-10  -0.005                   -0.01
-0.006570038050881653     -0.010851528894774858    0.08000000000000002      -2.2200230970393255E-10  -0.006570038050881653    -0.010851528894774858
-0.004821315127306367     -0.011324683210969286    0.07999999999999997      -2.9047459792758247E-10  -0.004821315127306367    -0.011324683210969286
-0.003376559071195433     -0.013687653657626966    0.08000000000000003      -2.8579858253536965E-10  -0.003376559071195433    -0.013687653657626966
-0.004247890876501795     -0.01263729765078543     0.07999999999999999      -2.873080562565077E-10   -0.004247890876501795    -0.01263729765078543
-0.004131435746321216     -0.014468078978769582    0.08000000000000002      -2.345123801919505E-10   -0.004131435746321216    -0.014468078978769583
-0.0024458011775784798    -0.014360961382251555    0.08000000000000002      -2.845074558716342E-10   -0.0024458011775784798   -0.014360961382251555
-0.07458787050279471      -0.007839467289912918    0.07999999999999997      -4.035536242847965E-12   -0.07458787050279471     -0.007839467289912918
-0.0672330783681145       -0.010461797641550037    0.08                     -7.745692249676927E-12   -0.0672330783681145      -0.010461797641550037
-0.06813770511802637      -0.003417924669675061    0.08                     -7.541885547239986E-12   -0.06813770511802637     -0.003417924669675061
-0.075                    0                        0.08                     -3.9556248557626455E-12  -0.075                   0
-0.004831745937772878     -0.008713846238019608    0.08                     -2.968910770698702E-10   -0.004831745937772878    -0.008713846238019608
-0.0068374721232225474    -0.009007476535766577    0.08                     -2.1772280378873087E-10  -0.0068374721232225474   -0.009007476535766576
-0.006216473599648845     -0.012431468876500866    0.08                     -2.1757019173804543E-10  -0.006216473599648845    -0.012431468876500866
0                         -0.075                   0.08                     -6.3842962058220655E-12  0                        -0.075
-0.004210198382387848     -0.06815114810324761     0.08000000000000002      -1.0214247292444914E-11  -0.004210198382387848    -0.06815114810324761
0.007839467289912918      -0.07458787050279471     0.07999999999999997      -6.35595256517866E-12    0.007839467289912918     -0.07458787050279471
0.0026728316342477017     -0.0680452847893545      0.08                     -1.032136597823327E-11   0.0026728316342477017    -0.0680452847893545
-0.004360961382292832     -0.007554198822495112    0.08                     -3.006612681107049E-10   -0.004360961382292832    -0.007554198822495112
-0.005675582773011823     -0.00759642624624899     0.08000000000000002      -2.4709544605952017E-10  -0.005675582773011823    -0.00759642624624899
-0.003687653657716764     -0.00662344092890265     0.08                     -3.0494983091380197E-10  -0.003687653657716764    -0.00662344092890265
-0.0044133756938468174    -0.005915487402914303    0.08                     -2.597480793939675E-10   -0.0044133756938468174   -0.005915487402914303
-0.002637297650954099     -0.005752109123602918    0.07999999999999999      -3.0844264871860576E-10  -0.002637297650954099    -0.005752109123602918
-0.001286153762029207     -0.014831745937759882    0.08000000000000002      -2.839545166265059E-10   -0.001286153762029207    -0.014831745937759882
-0.0023325493265836973    -0.01611303506586157     0.08                     -2.164847775369887E-10   -0.0023325493265836973   -0.016113035065861567
-8.874632712373258E-4     -0.015937772025586328    0.08                     -2.356590105467475E-10   -8.874632712373258E-4    -0.015937772025586328
0                         -0.015                   0.08                     -2.8340974489180727E-10  0                        -0.015
-0.07458908596708065      0.007839626105999796     0.08                     -3.911550841067164E-12   -0.07458908596708065     0.007839626105999796
-0.06782793103342658      0.0037757021074265942    0.08                     -7.624085689661377E-12   -0.06782793103342656     0.0037757021074265942
-0.07336097335751122      0.015593346475658632     0.08000000000000002      -3.906499618714047E-12   -0.07336097335751122     0.015593346475658632
-0.06741015645960055      0.011143955212252747     0.08                     -7.396763989061345E-12   -0.06741015645960056     0.011143955212252747
-0.0047773372267992074    0.008524517391391309     0.08                     -2.6334586818407684E-10  -0.0047773372267992074   0.008524517391391309
-0.005804299277798023     0.007230787005250872     0.08                     -2.1561140862395485E-10  -0.005804299277798023    0.007230787005250872
-0.004065691983301393     0.007089648024956218     0.08                     -2.69282804392256E-10    -0.004065691983301393    0.007089648024956218
-0.004519824337432865     0.00558767072858949      0.08000000000000002      -2.274280842169489E-10   -0.004519824337432865    0.00558767072858949
-0.002910348847263383     0.005934305777723038     0.08000000000000002      -2.7542512759590167E-10  -0.002910348847263383    0.005934305777723037
-0.006025034712374113     0.008975113601215404     0.08                     -2.1832480008100896E-10  -0.006025034712374113    0.008975113601215404
-0.005                    0.01                     0.08                     -2.583732452408001E-10   -0.005                   0.01
-0.001324683211040546     -0.005178684872713197    0.07999999999999997      -3.1193591062583497E-10  -0.001324683211040546    -0.005178684872713197
-0.0023646300348536264    -0.003627417496696303    0.07999999999999999      -2.462637755535185E-10   -0.0023646300348536264   -0.003627417496696303
0.015593239986274841      -0.07335999609166174     0.07999999999999997      -6.284939661877592E-12   0.015593239986274841     -0.07335999609166174
0.010208905610299595      -0.06751745977646718     0.08                     -1.0162602259922067E-11  0.010208905610299595     -0.06751745977646718
0.023176311611205702      -0.0713292096594843      0.07999999999999997      -6.168881726921302E-12   0.023176311611205702     -0.0713292096594843
0.016770891627124352      -0.06584276250196022     0.08                     -1.0251380746245161E-11  0.016770891627124352     -0.06584276250196021
-0.002953655771652037     0.004273141711260933     0.08                     -2.330166250468672E-10   -0.002953655771652037    0.004273141711260933
-0.0014754789327581495    0.005222661637903298     0.08000000000000002      -2.7957953806926026E-10  -0.0014754789327581497   0.005222661637903299
8.587779198765393E-4      -0.016722817573710837    0.08                     -2.08446121651181E-10    8.587779198765393E-4     -0.016722817573710833
